EID,R,Year
2-s2.0-84881074829,0,2011
2-s2.0-83755185739,0,2011
2-s2.0-84881068483,0,2011
2-s2.0-79956129934,0,2011
2-s2.0-79956153048,0,2011
2-s2.0-84881079636,0,2011
2-s2.0-83755224906,0,2011
2-s2.0-83755185735,0,2011
2-s2.0-84856020643,1,2011
2-s2.0-82155197317,0,2011
2-s2.0-81855226135,1,2011
2-s2.0-80054000048,1,2011
2-s2.0-80053120170,1,2011
2-s2.0-80052939658,0,2011
2-s2.0-79960862796,0,2011
2-s2.0-80052408814,0,2011
2-s2.0-79960691665,1,2011
2-s2.0-79960682039,1,2011
2-s2.0-79960672802,1,2011
2-s2.0-79960672576,1,2011
2-s2.0-79960692476,1,2011
2-s2.0-79960676285,1,2011
2-s2.0-79960695340,1,2011
2-s2.0-79960389401,1,2011
2-s2.0-79960196889,1,2011
2-s2.0-79959954957,0,2011
2-s2.0-79960748513,0,2011
2-s2.0-79957932640,0,2011
2-s2.0-79957851099,0,2011
2-s2.0-84860897675,0,2011
2-s2.0-79959335588,0,2011
2-s2.0-84860904399,0,2011
2-s2.0-84860906269,0,2011
2-s2.0-82055182294,0,2011
2-s2.0-77958048511,0,2011
2-s2.0-83155172802,0,2011
2-s2.0-84898703358,0,2011
2-s2.0-84863216698,0,2011
2-s2.0-82155171286,0,2011
2-s2.0-82155181763,0,2011
2-s2.0-83155182130,0,2011
2-s2.0-82055166885,0,2011
2-s2.0-83155192491,0,2011
2-s2.0-82055187112,0,2011
2-s2.0-82155181766,0,2011
2-s2.0-84898703930,0,2011
2-s2.0-83155182087,0,2011
2-s2.0-82055187119,0,2011
2-s2.0-84898702950,0,2011
2-s2.0-82055182326,0,2011
2-s2.0-82055187108,0,2011
2-s2.0-78650599541,0,2010
2-s2.0-78650380351,0,2010
2-s2.0-78649858263,0,2010
2-s2.0-79952783234,0,2010
2-s2.0-82755188542,0,2010
2-s2.0-78651486465,0,2010
2-s2.0-79952793582,0,2010
2-s2.0-79952812574,0,2010
2-s2.0-78751504474,0,2010
2-s2.0-78649775156,0,2010
2-s2.0-78249277416,0,2010
2-s2.0-78149245591,0,2010
2-s2.0-78049281031,1,2010
2-s2.0-77957779912,0,2010
2-s2.0-82055202066,1,2010
2-s2.0-77955891937,0,2010
2-s2.0-77956606985,0,2010
2-s2.0-77956608640,0,2010
2-s2.0-77956569348,0,2010
2-s2.0-77954932149,1,2010
2-s2.0-77954783470,0,2010
2-s2.0-77954787395,0,2010
2-s2.0-77954449053,1,2010
2-s2.0-77954429614,0,2010
2-s2.0-77952926831,0,2010
2-s2.0-78649238547,0,2010
2-s2.0-82055161123,0,2010
2-s2.0-82055161072,0,2010
2-s2.0-77951858524,0,2010
2-s2.0-77951816332,0,2010
2-s2.0-77951831531,0,2010
2-s2.0-77951774918,0,2010
2-s2.0-77951853710,0,2010
2-s2.0-77951832060,0,2010
2-s2.0-77951805489,0,2010
2-s2.0-82055182311,0,2010
2-s2.0-82055180541,0,2010
2-s2.0-79958117643,0,2010
2-s2.0-80051563644,0,2010
2-s2.0-79958127397,0,2010
2-s2.0-79952235531,0,2010
2-s2.0-82055166896,0,2010
2-s2.0-79958083195,0,2010
2-s2.0-79958151889,0,2010
2-s2.0-82055180536,0,2010
2-s2.0-77952398657,0,2009
2-s2.0-84887449554,1,2009
2-s2.0-77952400658,0,2009
2-s2.0-75649145895,0,2009
2-s2.0-77952411035,0,2009
2-s2.0-77952362654,0,2009
2-s2.0-77952346184,0,2009
2-s2.0-72849124254,1,2009
2-s2.0-70449869394,0,2009
2-s2.0-70349888079,1,2009
2-s2.0-70349607146,0,2009
2-s2.0-73549108498,1,2009
2-s2.0-67650089640,0,2009
2-s2.0-77953995818,0,2009
2-s2.0-70350181756,0,2009
2-s2.0-77952337683,0,2009
2-s2.0-77952347702,0,2009
2-s2.0-77952337136,0,2009
2-s2.0-66349111697,1,2009
2-s2.0-77952381153,0,2009
2-s2.0-77952416017,0,2009
2-s2.0-77952348834,0,2009
2-s2.0-77952346730,0,2009
2-s2.0-77952327941,1,2009
2-s2.0-77952403375,0,2009
2-s2.0-77952330728,0,2009
2-s2.0-75249086212,0,2009
2-s2.0-75249101318,0,2009
2-s2.0-77953800517,0,2009
2-s2.0-77957977841,0,2009
2-s2.0-77953775146,0,2009
2-s2.0-77953738815,0,2009
2-s2.0-77958017655,0,2009
2-s2.0-75249093883,0,2009
2-s2.0-58549091525,1,2008
2-s2.0-56049091082,0,2008
2-s2.0-55849138367,0,2008
2-s2.0-51849137874,1,2008
2-s2.0-51349166665,1,2008
2-s2.0-56549128666,0,2008
2-s2.0-42449131439,0,2008
2-s2.0-40949159703,0,2008
2-s2.0-40949122312,0,2008
2-s2.0-40649129529,0,2008
2-s2.0-38149059663,1,2008
2-s2.0-67651111947,0,2008
2-s2.0-67449118622,0,2008
2-s2.0-67651111948,0,2008
2-s2.0-55849132710,0,2008
2-s2.0-67449085072,0,2008
2-s2.0-65649103748,0,2008
2-s2.0-67651085409,0,2008
2-s2.0-55849148732,0,2008
2-s2.0-65649120424,0,2008
2-s2.0-67449107211,0,2008
2-s2.0-38149082579,0,2007
2-s2.0-38149072473,1,2007
2-s2.0-38549095497,1,2007
2-s2.0-38049187486,1,2007
2-s2.0-38449111558,0,2007
2-s2.0-38449106816,1,2007
2-s2.0-34547189589,0,2007
2-s2.0-56349141220,1,2006
2-s2.0-33745788813,0,2006
2-s2.0-33745793009,0,2006
2-s2.0-33751283514,1,2005
2-s2.0-33745462786,0,2005
2-s2.0-24144477302,1,2005
2-s2.0-24144449906,1,2005
2-s2.0-24144468666,1,2005
2-s2.0-24144455335,1,2005
2-s2.0-14944381089,0,2005
2-s2.0-9444282072,1,2004
2-s2.0-23144437858,1,2004
2-s2.0-26944503239,1,2004
2-s2.0-14544304449,1,2004
2-s2.0-3142662042,0,2004
2-s2.0-3042687241,1,2004
2-s2.0-7044264347,1,2003
2-s2.0-7044227557,1,2003
2-s2.0-1542432708,1,2003
2-s2.0-0036456263,1,2002
2-s2.0-0036362633,1,2002
2-s2.0-0035157208,1,2001
2-s2.0-0035536352,0,2001
2-s2.0-0035061022,1,2001
2-s2.0-0038670954,0,2000
2-s2.0-33748632922,1,2000
2-s2.0-0034287206,0,2000
2-s2.0-0033314867,1,1999
2-s2.0-0033246837,0,1999
2-s2.0-0032591677,1,1999
2-s2.0-34249758103,0,1995
